code,name,year,month,temp_min
CRI.61985,Limon,1950,07,414.95
CRI.61986,Puntarenas,1950,07,580.83
CRI.61987,San Jose,1950,07,700.04
GTM.10364821,Guatemala,1950,07,221.72
GTM.10364822,El Progreso,1950,07,157.31
GTM.10364823,Sacatepéquez,1950,07,265.4
GTM.10364824,Chimaltenango,1950,07,261.43
GTM.10364825,Escuintla,1950,07,443.7
GTM.10364826,Santa Rosa,1950,07,337.47
GTM.10364827,Sololá,1950,07,314.13
GTM.10364828,Totonicapán,1950,07,221.74
GTM.10364829,Quetzaltenango,1950,07,501.93
GTM.10364830,Suchitepéquez,1950,07,487.77
GTM.10364831,Retalhuleu,1950,07,448.86
GTM.10364832,San Marcos,1950,07,473.65
